state_group,limit,light_medium_ilf,heavy_ilf,extra_heavy_ilf,other_ilf
99,800000,1.652,1.758,1.81,1.662
99,850000,1.674,1.786,1.84,1.684
99,900000,1.696,1.814,1.87,1.706
99,950000,1.718,1.842,1.9,1.728
99,1000000,1.74,1.87,1.93,1.75
99,1100000,1.77,1.912,1.97,1.78
99,1200000,1.8,1.954,2.01,1.81
99,1300000,1.83,1.996,2.05,1.84
99,1400000,1.86,2.038,2.09,1.87
99,1500000,1.89,2.08,2.13,1.9
99,1600000,1.912,2.108,2.162,1.922
99,1700000,1.934,2.136,2.194,1.944
99,1800000,1.956,2.164,2.226,1.966
99,1900000,1.978,2.192,2.258,1.988
99,2000000,2,2.22,2.29,2.01
99,2100000,2.016,2.244,2.314,2.028
99,2200000,2.032,2.268,2.338,2.046
99,2300000,2.048,2.292,2.362,2.064
99,2400000,2.064,2.316,2.386,2.082
99,2500000,2.08,2.34,2.41,2.1
99,2600000,2.094,2.36,2.43,2.114
99,2700000,2.108,2.38,2.45,2.128
99,2800000,2.122,2.4,2.47,2.142
99,2900000,2.136,2.42,2.49,2.156
99,3000000,2.15,2.44,2.51,2.17
99,3100000,2.161,2.455,2.526,2.182
99,3200000,2.172,2.469,2.541,2.193
99,3300000,2.183,2.484,2.556,2.205
99,3400000,2.194,2.498,2.572,2.216
99,3500000,2.205,2.513,2.587,2.227
99,3600000,2.216,2.527,2.603,2.239
99,3700000,2.227,2.542,2.618,2.25
99,3800000,2.238,2.556,2.634,2.262
99,3900000,2.249,2.571,2.649,2.273
99,4000000,2.26,2.585,2.665,2.285
99,4100000,2.271,2.6,2.68,2.296
99,4200000,2.282,2.614,2.696,2.308
99,4300000,2.293,2.629,2.711,2.319
99,4400000,2.304,2.643,2.727,2.331
99,4500000,2.315,2.657,2.742,2.342
99,4600000,2.326,2.672,2.758,2.354
99,4700000,2.337,2.686,2.773,2.365
99,4800000,2.348,2.701,2.789,2.377
99,4900000,2.359,2.715,2.804,2.388
99,5000000,2.37,2.73,2.82,2.4
99,5100000,2.378,2.741,2.832,2.408
99,5200000,2.385,2.752,2.843,2.416
99,5300000,2.393,2.764,2.855,2.424
99,5400000,2.4,2.775,2.866,2.432
99,5500000,2.408,2.786,2.878,2.44
99,5600000,2.416,2.797,2.89,2.448
99,5700000,2.423,2.808,2.901,2.456
99,5800000,2.431,2.82,2.913,2.464
99,5900000,2.438,2.831,2.924,2.472
99,6000000,2.446,2.842,2.936,2.48
99,6100000,2.454,2.853,2.948,2.488
99,6200000,2.461,2.864,2.959,2.496
99,6300000,2.469,2.876,2.971,2.504
99,6400000,2.476,2.887,2.982,2.512
99,6500000,2.484,2.898,2.994,2.52
99,6600000,2.492,2.909,3.006,2.528
99,6700000,2.499,2.92,3.017,2.536
99,6800000,2.507,2.932,3.029,2.544
99,6900000,2.514,2.943,3.04,2.552
99,7000000,2.522,2.954,3.052,2.56
99,7100000,2.53,2.965,3.064,2.568
99,7200000,2.537,2.976,3.075,2.576
99,7300000,2.545,2.988,3.087,2.584
99,7400000,2.552,2.999,3.098,2.592
99,7500000,2.56,3.01,3.11,2.6
99,7600000,2.566,3.019,3.12,2.607
99,7700000,2.573,3.028,3.129,2.614
99,7800000,2.579,3.036,3.139,2.62
99,7900000,2.586,3.045,3.148,2.627
99,8000000,2.592,3.054,3.158,2.634
99,8100000,2.598,3.063,3.168,2.641
99,8200000,2.605,3.072,3.177,2.648
99,8300000,2.611,3.08,3.187,2.654
99,8400000,2.618,3.089,3.196,2.661
99,8500000,2.624,3.098,3.206,2.668
99,8600000,2.63,3.107,3.216,2.675
99,8700000,2.637,3.116,3.225,2.682
99,8800000,2.643,3.124,3.235,2.688
99,8900000,2.65,3.133,3.244,2.695
99,9000000,2.656,3.142,3.254,2.702
99,9100000,2.662,3.151,3.264,2.709
99,9200000,2.669,3.16,3.273,2.716
99,9300000,2.675,3.168,3.283,2.722
99,9400000,2.682,3.177,3.292,2.729
99,9500000,2.688,3.186,3.302,2.736
99,9600000,2.694,3.195,3.312,2.743
99,9700000,2.701,3.204,3.321,2.75
99,9800000,2.707,3.212,3.331,2.756
99,9900000,2.714,3.221,3.34,2.763
99,10000000,2.72,3.23,3.35,2.77
