sic,sic_2,sic_class,sic_industry
3334,33,D,Manufacturing
3339,33,D,Manufacturing
3341,33,D,Manufacturing
3351,33,D,Manufacturing
3353,33,D,Manufacturing
3354,33,D,Manufacturing
3355,33,D,Manufacturing
3356,33,D,Manufacturing
3357,33,D,Manufacturing
3359,33,D,Manufacturing
3361,33,D,Manufacturing
3362,33,D,Manufacturing
3363,33,D,Manufacturing
3364,33,D,Manufacturing
3365,33,D,Manufacturing
3366,33,D,Manufacturing
3369,33,D,Manufacturing
3398,33,D,Manufacturing
3399,33,D,Manufacturing
3411,34,D,Manufacturing
3412,34,D,Manufacturing
3421,34,D,Manufacturing
3423,34,D,Manufacturing
3425,34,D,Manufacturing
3429,34,D,Manufacturing
3431,34,D,Manufacturing
3432,34,D,Manufacturing
3433,34,D,Manufacturing
3441,34,D,Manufacturing
3442,34,D,Manufacturing
3443,34,D,Manufacturing
3444,34,D,Manufacturing
3446,34,D,Manufacturing
3448,34,D,Manufacturing
3449,34,D,Manufacturing
3451,34,D,Manufacturing
3452,34,D,Manufacturing
3462,34,D,Manufacturing
3463,34,D,Manufacturing
3465,34,D,Manufacturing
3466,34,D,Manufacturing
3469,34,D,Manufacturing
3471,34,D,Manufacturing
3479,34,D,Manufacturing
3482,34,D,Manufacturing
3483,34,D,Manufacturing
3484,34,D,Manufacturing
3489,34,D,Manufacturing
3491,34,D,Manufacturing
3492,34,D,Manufacturing
3493,34,D,Manufacturing
3494,34,D,Manufacturing
3495,34,D,Manufacturing
3496,34,D,Manufacturing
3497,34,D,Manufacturing
3498,34,D,Manufacturing
3499,34,D,Manufacturing
3511,35,D,Manufacturing
3519,35,D,Manufacturing
3523,35,D,Manufacturing
3524,35,D,Manufacturing
3531,35,D,Manufacturing
3532,35,D,Manufacturing
3533,35,D,Manufacturing
3534,35,D,Manufacturing
3535,35,D,Manufacturing
3536,35,D,Manufacturing
3537,35,D,Manufacturing
3541,35,D,Manufacturing
3542,35,D,Manufacturing
3543,35,D,Manufacturing
3544,35,D,Manufacturing
3545,35,D,Manufacturing
3546,35,D,Manufacturing
3547,35,D,Manufacturing
3548,35,D,Manufacturing
3549,35,D,Manufacturing
3551,35,D,Manufacturing
3552,35,D,Manufacturing
3553,35,D,Manufacturing
3554,35,D,Manufacturing
3555,35,D,Manufacturing
3556,35,D,Manufacturing
3559,35,D,Manufacturing
3561,35,D,Manufacturing
3562,35,D,Manufacturing
3563,35,D,Manufacturing
3564,35,D,Manufacturing
3565,35,D,Manufacturing
3566,35,D,Manufacturing
3567,35,D,Manufacturing
3568,35,D,Manufacturing
3569,35,D,Manufacturing
3571,35,D,Manufacturing
3572,35,D,Manufacturing
3573,35,D,Manufacturing
3574,35,D,Manufacturing
3575,35,D,Manufacturing
3576,35,D,Manufacturing
3577,35,D,Manufacturing
3578,35,D,Manufacturing
3579,35,D,Manufacturing
3581,35,D,Manufacturing
3582,35,D,Manufacturing
3585,35,D,Manufacturing
3586,35,D,Manufacturing
3589,35,D,Manufacturing
3592,35,D,Manufacturing
3593,35,D,Manufacturing
3594,35,D,Manufacturing
3596,35,D,Manufacturing
3598,35,D,Manufacturing
3599,35,D,Manufacturing
3611,36,D,Manufacturing
3612,36,D,Manufacturing
3613,36,D,Manufacturing
3621,36,D,Manufacturing
3622,36,D,Manufacturing
3623,36,D,Manufacturing
3624,36,D,Manufacturing
3625,36,D,Manufacturing
3629,36,D,Manufacturing
3631,36,D,Manufacturing
3632,36,D,Manufacturing
3633,36,D,Manufacturing
