sic,sic_2,sic_class,sic_industry
6123,61,H,"Finance, Insurance, And Real Estate"
6124,61,H,"Finance, Insurance, And Real Estate"
6125,61,H,"Finance, Insurance, And Real Estate"
6131,61,H,"Finance, Insurance, And Real Estate"
6141,61,H,"Finance, Insurance, And Real Estate"
6142,61,H,"Finance, Insurance, And Real Estate"
6143,61,H,"Finance, Insurance, And Real Estate"
6144,61,H,"Finance, Insurance, And Real Estate"
6145,61,H,"Finance, Insurance, And Real Estate"
6146,61,H,"Finance, Insurance, And Real Estate"
6149,61,H,"Finance, Insurance, And Real Estate"
6153,61,H,"Finance, Insurance, And Real Estate"
6159,61,H,"Finance, Insurance, And Real Estate"
6162,61,H,"Finance, Insurance, And Real Estate"
6163,61,H,"Finance, Insurance, And Real Estate"
6172,61,H,"Finance, Insurance, And Real Estate"
6199,61,H,"Finance, Insurance, And Real Estate"
6211,62,H,"Finance, Insurance, And Real Estate"
6218,62,H,"Finance, Insurance, And Real Estate"
6221,62,H,"Finance, Insurance, And Real Estate"
6231,62,H,"Finance, Insurance, And Real Estate"
6281,62,H,"Finance, Insurance, And Real Estate"
6282,62,H,"Finance, Insurance, And Real Estate"
6289,62,H,"Finance, Insurance, And Real Estate"
6311,63,H,"Finance, Insurance, And Real Estate"
6321,63,H,"Finance, Insurance, And Real Estate"
6324,63,H,"Finance, Insurance, And Real Estate"
6331,63,H,"Finance, Insurance, And Real Estate"
6351,63,H,"Finance, Insurance, And Real Estate"
6361,63,H,"Finance, Insurance, And Real Estate"
6371,63,H,"Finance, Insurance, And Real Estate"
6399,63,H,"Finance, Insurance, And Real Estate"
6411,64,H,"Finance, Insurance, And Real Estate"
6511,65,H,"Finance, Insurance, And Real Estate"
6512,65,H,"Finance, Insurance, And Real Estate"
6513,65,H,"Finance, Insurance, And Real Estate"
6514,65,H,"Finance, Insurance, And Real Estate"
6515,65,H,"Finance, Insurance, And Real Estate"
6517,65,H,"Finance, Insurance, And Real Estate"
6519,65,H,"Finance, Insurance, And Real Estate"
6531,65,H,"Finance, Insurance, And Real Estate"
6541,65,H,"Finance, Insurance, And Real Estate"
6552,65,H,"Finance, Insurance, And Real Estate"
6553,65,H,"Finance, Insurance, And Real Estate"
6611,66,M,Missing
6619,66,M,Missing
6711,67,H,"Finance, Insurance, And Real Estate"
6712,67,H,"Finance, Insurance, And Real Estate"
6719,67,H,"Finance, Insurance, And Real Estate"
6722,67,H,"Finance, Insurance, And Real Estate"
6723,67,H,"Finance, Insurance, And Real Estate"
6724,67,H,"Finance, Insurance, And Real Estate"
6726,67,H,"Finance, Insurance, And Real Estate"
6732,67,H,"Finance, Insurance, And Real Estate"
6733,67,H,"Finance, Insurance, And Real Estate"
6743,67,H,"Finance, Insurance, And Real Estate"
6744,67,H,"Finance, Insurance, And Real Estate"
6749,67,H,"Finance, Insurance, And Real Estate"
6792,67,H,"Finance, Insurance, And Real Estate"
6793,67,H,"Finance, Insurance, And Real Estate"
6794,67,H,"Finance, Insurance, And Real Estate"
6798,67,H,"Finance, Insurance, And Real Estate"
6799,67,H,"Finance, Insurance, And Real Estate"
7011,70,I,Services
7021,70,I,Services
7032,70,I,Services
7033,70,I,Services
7041,70,I,Services
7139,71,M,Missing
7172,71,M,Missing
7211,72,I,Services
7212,72,I,Services
7213,72,I,Services
7214,72,I,Services
7215,72,I,Services
