ZIP_CODE,DENSITY,sex_ratio,MEDAGE
1518,297.4,-0.035351458,40.3
1519,686.2,-0.051122578,40.2
1520,652.1,-0.064377206,42.1
1521,210.6,0.062204924,42.5
1522,226.7,-0.010333043,40.5
1523,275.9,0.274927523,38.5
1524,417.7,-0.051278679,40.2
1525,1420.2,-0.054067221,37.2
1526,0,NA,0
1527,773.9,-0.041447095,41.5
1529,649,-0.012077441,37.5
1531,49.9,0.006335818,43.1
1532,709.2,-0.033682475,41.8
1534,762.3,-0.051706717,40.2
1535,227.5,-0.03655349,41.1
1536,626.8,-0.088663842,40.7
1537,436.9,-0.080604032,40.8
1538,0,NA,0
1540,535.8,-0.031650514,40.1
1541,99.3,0.006327315,46.3
1542,612,-0.025669859,39.6
1543,236,-0.024234618,38.2
1545,1571.2,-0.048595064,39.6
1546,0,NA,0
1550,754,-0.068968626,38.3
1560,1022,-0.029543067,35.6
1561,1432.1,-0.22254277,38.9
1562,367.4,-0.007945378,41.4
1564,256.8,-0.033115609,43.7
1566,238.9,-0.025967055,41.8
1568,358.5,-0.039835325,40.6
1569,431.1,-0.006170645,40.8
1570,1231.5,-0.06435403,40.8
1571,517.9,0.000689536,38
1581,833.5,-0.035837867,39.3
1583,575.8,0.185466213,45.2
1585,178.8,-0.06100018,43.4
1586,0,NA,0
1588,769.8,-0.079497889,38.8
1590,277.4,-0.027353352,41.9
1601,0,NA,0
1602,3134.9,-0.115807621,38.7
1603,3752.8,-0.019798802,35.1
1604,4168.5,-0.062252214,35.9
1605,4007.5,-0.1344138,33.9
1606,3022.6,-0.059356665,37.9
1607,2743.8,-0.072422049,28.6
1608,2290.2,0.012732787,31.3
1609,4503.6,0.097393283,28.9
1610,4700.9,-0.033258503,27.9
1611,511.9,-0.049096021,38.9
1612,339.4,-0.002168728,38.6
1613,4565.9,0.305073815,32.5
1614,0,NA,0
1615,0,NA,0
1653,0,NA,0
1655,0,NA,0
1701,1824.5,-0.080202126,42.7
1702,4166.8,-0.052534654,34
1703,0,NA,0
1704,0,NA,0
1705,2327.1,-0.418978827,47.1
1718,1338.7,0,40
1719,511.1,0.036655499,42.7
1720,1096,-0.03588337,41.1
1721,1342,-0.05712276,39.9
1730,956.6,-0.00739404,44.9
1731,1187.7,-0.075112217,26.4
1740,256,-0.023648214,42.1
1741,335.2,-0.012494156,46.4
1742,720.1,0.030620739,46.5
1745,713,-0.004662013,45.3
1746,760.2,-0.031995417,42.1
1747,1071.8,-0.041287959,41.4
1748,591.2,-0.035767224,39.2
1749,1616.3,-0.029647486,40.8
1752,1768.3,-0.021861006,38.4
1754,1805.6,-0.08190352,41.1
1756,328.4,0.001808646,41.5
1757,1659.7,-0.00908208,38.8
1760,2165.6,-0.075955184,40.9
1770,275.1,-0.05559604,45.2
1772,658.9,-0.02151519,40.7
1773,401.5,-0.077036317,48.1
1775,438.5,-0.033536077,43.1
1776,718.5,-0.04865495,41.9
1778,882.1,-0.06881847,45.1
1784,0,NA,0
1801,2810.6,-0.063438589,40.2
1803,2100.3,-0.04934806,41.2
1805,0,NA,0
1810,1061.8,-0.066776233,41.8
1812,0,NA,0
1821,1714.5,-0.025396306,39.8
1822,0,NA,0
1824,1372.6,-0.051161416,43.3
1826,1395.8,-0.04197903,39.6
1827,220.7,0.001467352,41.2
1830,1764.9,-0.074853109,39.7
1831,0,NA,0
1832,2023.1,-0.077118056,36.7
1833,634,-0.029526475,41.1
1834,712.7,-0.064270156,42.9
1835,1702.2,-0.094248421,38.4
1840,7420.4,-0.06229508,37.1
1841,12388.5,-0.062494518,30
1842,0,NA,0
1843,6840.1,-0.099476291,32.3
1844,2076.2,-0.094075683,39.1
1845,1098.6,-0.089839333,39.6
1850,10700.4,-0.030945526,31.9
1851,7999.9,-0.007168974,32.6
1852,5148.6,-0.038525022,35.1
1853,0,NA,0
1854,5340.4,0.008640311,31.7
1860,756.8,-0.063687819,42.9
1862,1097.8,0.144813056,40.1
1863,1782.3,-0.098137259,41.3
1864,1138.8,-0.033910164,41.2
1865,0,NA,0
1866,0,NA,0
1867,2399.1,-0.057465124,41.1
1876,1380.6,-0.058582297,42.4
1879,692.8,-0.04582022,39.7
1880,3206.6,-0.076207451,41.5
1885,0,NA,0
1886,743.3,-0.016681028,41
1887,1377.6,-0.040190065,40.3
1888,0,NA,0
1889,0,NA,0
1890,3368.9,-0.091571988,42.1
1901,13092.4,-0.033185549,42.4
1902,13374.2,-0.04093865,33.9
1903,0,NA,0
1904,3692,-0.052791023,39.2
1905,8071.6,-0.040313264,32.7
1906,2282.5,-0.092686114,43.5
1907,4280.4,-0.114642117,44.6
1908,2936,-0.077853377,50
1910,0,NA,0
1913,1279.8,-0.066059927,41.1
1915,2520.1,-0.101608311,40
1921,342.1,-0.032772489,45.2
1922,284,-0.05107493,43.7
1923,1941,-0.123424049,43.9
1929,229.5,-0.000690846,43.9
1930,1124.4,-0.074469037,45.7
1931,2401.2,-0.204646844,54.9
1936,0,NA,0
1937,0,NA,0
1938,413,-0.093483722,46.4
1940,1223.1,-0.051949355,43.5
1944,565,-0.121949428,47.2
1945,4312.4,-0.109796559,45.6
1949,706,0.213273801,40.4
1950,2054.4,-0.138762547,45.4
1951,308.4,-0.052688481,48
1952,557.7,-0.066287974,44.9
1960,2977.2,-0.100926546,44.2
1961,0,NA,0
1965,0,NA,0
1966,1046.9,-0.14529219,49.5
1969,345.6,-0.022856298,42.3
1970,4551.7,-0.136337419,37.9
1971,5251.8,-0.182321557,38
1982,550.8,-0.036881387,40.5
1983,517.8,-0.06696035,45.6
1984,644.4,-0.187972383,28.5
1985,334.9,-0.0168668,44.8
2018,0,NA,0
2019,909.4,-0.057863345,40
2020,0,NA,0
2021,1135.5,-0.106899603,42.1
2025,776.9,-0.037931222,43.2
2026,2389,-0.06680718,42.9
2027,0,NA,0
2030,393,-0.002246351,43.9
2032,1837.9,-0.045894497,40.5
2035,867.6,-0.038165102,41.2
2038,1185.2,-0.041139626,38.1
2040,1459.9,-0.139761942,44.3
2041,0,NA,0
2043,982.9,-0.119111687,44.1
2045,2961.6,-0.100745652,47
2047,0,NA,0
2048,1160.9,-0.016626639,37.8
2050,875.4,-0.054037617,42.7
2051,0,NA,0
2052,849.9,-0.060876102,41.4
2053,1104.4,-0.053276145,40.3
2054,694.8,-0.044066535,41.9
2055,1457.7,-0.126751706,45.7
2056,760.1,0.371985586,41.4
2059,0,NA,0
2060,0,NA,0
2061,513.7,-0.080611902,43.1
2062,2726.6,-0.085648913,40.8
2065,0,NA,0
2066,1028,-0.081882161,44.8
2067,770.2,-0.069919441,42.9
2070,0,NA,0
2071,754.9,-0.057401516,38.9
2072,1673,-0.101242136,42.2
2081,1132.7,-0.027684489,42
2090,1336.4,-0.095323132,43.6
2093,524.4,-0.030106623,42.8
2108,28172.7,-0.086890334,37.9
2109,23559,0.093359622,34.1
2110,15016.7,0.016736792,52.4
2111,23816.6,0.061149836,33.6
2112,19412.9,-0.116072171,32.6
2113,54888.1,-0.173810867,31
2114,29340.7,0.007131813,32.5
2115,43335.2,-0.06702342,24
2116,33504.1,-0.054873692,34.1
2117,0,NA,0
2118,29053.5,0.043146491,34.3
2119,14123,-0.079021797,33.4
2120,22661.7,0.022570175,23.2
2121,21852.4,-0.240767917,30.3
2122,14664.2,-0.05382465,33.9
2123,0,NA,0
2124,15257.8,-0.16411423,34.2
2125,14976.6,-0.028229027,31.6
2126,11696.5,-0.18765574,36.2
2127,13685.1,-0.106726959,33
2128,9438.4,0.102768597,32.4
2129,12303.1,-0.149933367,34.5
2130,8914.4,-0.161622174,34.6
2131,10687.5,-0.153435718,37.7
2132,4956.1,-0.145722983,43.5
2133,0,NA,0
