lookup_key,state,class_code,final_rate,final_rate_uslh,clerical_ind
AK2836,AK,2836,0.054605,0.07371675,0
AK2841,AK,2841,0.099756,0.1346706,0
AK2881,AK,2881,0.049878,0.0673353,0
AK2883,AK,2883,0.071231,0.09616185,0
AK2913,AK,2913,0.081174,0.1095849,0
AK2915,AK,2915,0.056887,0.07679745,0
AK2916,AK,2916,0.080848,0.1091448,0
AK2923,AK,2923,0.046455,0.06271425,0
AK2942,AK,2942,0.054768,0.0739368,0
AK2960,AK,2960,0.083293,0.11244555,0
AK3004,AK,3004,0.045803,0.06183405,0
AK3018,AK,3018,0.057539,0.07767765,0
AK3022,AK,3022,0.067971,0.09176085,0
AK3027,AK,3027,0.061288,0.0827388,0
AK3028,AK,3028,0.065689,0.08868015,0
AK3030,AK,3030,0.124695,0.16833825,0
AK3040,AK,3040,0.171965,0.23215275,0
AK3041,AK,3041,0.09128,0.123228,0
AK3042,AK,3042,0.091769,0.12388815,0
AK3064,AK,3064,0.098778,0.1333503,0
AK3066,AK,3066,0.040552,0.0547452,0
AK3069,AK,3069,0.08436,0.113886,0
AK3076,AK,3076,0.062429,0.08427915,0
AK3081,AK,3081,0.101223,0.13665105,0
AK3082,AK,3082,0.080848,0.1091448,0
AK3085,AK,3085,0.090791,0.12256785,0
AK3110,AK,3110,0.088509,0.11948715,0
AK3111,AK,3111,0.051182,0.0690957,0
AK3113,AK,3113,0.036023,0.04863105,0
AK3114,AK,3114,0.053953,0.07283655,0
AK3118,AK,3118,0.036512,0.0492912,0
AK3119,AK,3119,0.025591,0.03454785,0
AK3122,AK,3122,0.054605,0.07371675,0
AK3126,AK,3126,0.036186,0.0488511,0
AK3131,AK,3131,0.034067,0.04599045,0
AK3132,AK,3132,0.060473,0.08163855,0
AK3145,AK,3145,0.04727,0.0638145,0
AK3146,AK,3146,0.045803,0.06183405,0
AK3169,AK,3169,0.055909,0.07547715,0
AK3175,AK,3175,0.09128,0.123228,0
AK3179,AK,3179,0.036838,0.0497313,0
AK3180,AK,3180,0.050204,0.0677754,0
AK3188,AK,3188,0.033741,0.04555035,0
AK3220,AK,3220,0.032437,0.04378995,0
AK3223,AK,3223,0.083945,0.11332575,0
AK3224,AK,3224,0.070905,0.09572175,0
AK3227,AK,3227,0.053138,0.0717363,0
AK3240,AK,3240,0.054605,0.07371675,0
AK3241,AK,3241,0.058517,0.07899795,0
AK3255,AK,3255,0.041891,0.05655285,0
AK3257,AK,3257,0.063244,0.0853794,0
AK3270,AK,3270,0.055583,0.07503705,0
AK3300,AK,3300,0.085249,0.11508615,0
AK3303,AK,3303,0.072535,0.09792225,0
AK3307,AK,3307,0.065852,0.0889002,0
AK3315,AK,3315,0.084434,0.1139859,0
AK3334,AK,3334,0.059495,0.08031825,0
AK3336,AK,3336,0.064548,0.0871398,0
AK3365,AK,3365,0.098126,0.1324701,0
AK3372,AK,3372,0.071883,0.09704205,0
AK3373,AK,3373,0.100082,0.1351107,0
AK3383,AK,3383,0.024287,0.03278745,0
AK3385,AK,3385,0.020049,0.02706615,0
AK3400,AK,3400,0.067319,0.09088065,0
AK3507,AK,3507,0.072372,0.0977022,0
AK3515,AK,3515,0.046455,0.06271425,0
AK3548,AK,3548,0.030807,0.04158945,0
AK3559,AK,3559,0.056887,0.07679745,0
AK3574,AK,3574,0.020538,0.0277263,0
AK3581,AK,3581,0.020538,0.0277263,0
AK3612,AK,3612,0.042543,0.05743305,0
AK3620,AK,3620,0.100408,0.1355508,0
AK3629,AK,3629,0.028199,0.03806865,0
AK3632,AK,3632,0.067645,0.09132075,0
AK3634,AK,3634,0.033252,0.0448902,0
AK3635,AK,3635,0.052649,0.07107615,0
AK3638,AK,3638,0.030318,0.0409293,0
AK3642,AK,3642,0.02608,0.035208,0
AK3643,AK,3643,0.055094,0.0743769,0
AK3647,AK,3647,0.04727,0.0638145,0
AK3648,AK,3648,0.028199,0.03806865,0
AK3681,AK,3681,0.020538,0.0277263,0
AK3685,AK,3685,0.037327,0.05039145,0
AK3719,AK,3719,0.031622,0.0426897,0
AK3724,AK,3724,0.06683,0.0902205,0
AK3726,AK,3726,0.059821,0.08075835,0
AK3803,AK,3803,0.051182,0.0690957,0
AK3807,AK,3807,0.04238,0.057213,0
AK3808,AK,3808,0.059984,0.0809784,0
AK3821,AK,3821,0.099267,0.13401045,0
AK3822,AK,3822,0.092584,0.1249884,0
AK3824,AK,3824,0.148004,0.1998054,0
AK3826,AK,3826,0.013855,0.01870425,0
AK3827,AK,3827,0.039935,0.05391225,0
AK3830,AK,3830,0.019071,0.02574585,0
AK3851,AK,3851,0.076284,0.1029834,0
AK3865,AK,3865,0.033741,0.04555035,0
AK3881,AK,3881,0.084923,0.11464605,0
AK4000,AK,4000,0.118012,0.1593162,0
AK4021,AK,4021,0.09454,0.127629,0
AK4024,AK,4024,0.072372,0.0977022,0
AK4034,AK,4034,0.093236,0.1258686,0
AK4036,AK,4036,0.045151,0.06095385,0
AK4038,AK,4038,0.064548,0.0871398,0
AK4053,AK,4053,0.056398,0.0761373,0
AK4061,AK,4061,0.073676,0.0994626,0
AK4062,AK,4062,0.042543,0.05743305,0
AK4101,AK,4101,0.057702,0.0778977,0
AK4109,AK,4109,0.01793,0.0242055,0
AK4110,AK,4110,0.025591,0.03454785,0
AK4111,AK,4111,0.033904,0.0457704,0
AK4112,AK,4112,0.02812,0.037962,0
AK4113,AK,4113,0.034556,0.0466506,0
AK4114,AK,4114,0.056072,0.0756972,0
AK4130,AK,4130,0.138876,0.1874826,0
AK4131,AK,4131,0.07172,0.096822,0
AK4133,AK,4133,0.054116,0.0730566,0
AK4149,AK,4149,0.015648,0.0211248,0
AK4150,AK,4150,0.020424,0.0275724,0
AK4206,AK,4206,0.067482,0.0911007,0
AK4207,AK,4207,0.031133,0.04202955,0
AK4239,AK,4239,0.041728,0.0563328,0
AK4240,AK,4240,0.050041,0.06755535,0
AK4243,AK,4243,0.04238,0.057213,0
AK4244,AK,4244,0.050041,0.06755535,0
AK4250,AK,4250,0.034719,0.04687065,0
AK4251,AK,4251,0.055094,0.0743769,0
AK4263,AK,4263,0.045151,0.06095385,0
AK4273,AK,4273,0.048574,0.0655749,0
AK4279,AK,4279,0.045803,0.06183405,0
AK4282,AK,4282,0.049389,0.06667515,0
AK4283,AK,4283,0.044499,0.06007365,0
AK4299,AK,4299,0.033904,0.0457704,0
AK4304,AK,4304,0.096659,0.13048965,0
AK4307,AK,4307,0.037979,0.05127165,0
AK4308,AK,4308,0.0645328,0.08711928,0
AK4351,AK,4351,0.020701,0.02794635,0
AK4352,AK,4352,0.034393,0.04643055,0
AK4360,AK,4360,0.017604,0.0237654,0
AK4361,AK,4361,0.036675,0.04951125,0
AK4362,AK,4362,0.014504,0.0195804,0
AK4410,AK,4410,0.065363,0.08824005,0
AK4420,AK,4420,0.078892,0.1065042,0
AK4431,AK,4431,0.031948,0.0431298,0
AK4432,AK,4432,0.032274,0.0435699,0
AK4439,AK,4439,0.047596,0.0642546,0
AK4452,AK,4452,0.082478,0.1113453,0
AK4459,AK,4459,0.047107,0.06359445,0
AK4470,AK,4470,0.044499,0.06007365,0
AK4484,AK,4484,0.05216,0.070416,0
AK4493,AK,4493,0.051834,0.0699759,0
AK4511,AK,4511,0.019723,0.02662605,0
AK4557,AK,4557,0.042054,0.0567729,0
AK4558,AK,4558,0.032437,0.04378995,0
AK4561,AK,4561,0.046916,0.0633366,0
AK4568,AK,4568,0.051182,0.0690957,0
AK4581,AK,4581,0.02282,0.030807,0
AK4583,AK,4583,0.121272,0.1637172,0
AK4611,AK,4611,0.018582,0.0250857,0
AK4635,AK,4635,0.045151,0.06095385,0
AK4653,AK,4653,0.043847,0.05919345,0
AK4665,AK,4665,0.18419,0.2486565,0
AK4670,AK,4670,0.195274,0.2636199,0
AK4683,AK,4683,0.074165,0.10012275,0
AK4686,AK,4686,0.046455,0.06271425,0
AK4692,AK,4692,0.023798,0.0321273,0
AK4693,AK,4693,0.014996,0.0202446,0
AK4703,AK,4703,0.046292,0.0624942,0
AK4717,AK,4717,0.050041,0.06755535,0
AK4720,AK,4720,0.040587,0.05479245,0
AK4740,AK,4740,0.017278,0.0233253,0
AK4741,AK,4741,0.039935,0.05391225,0
AK4751,AK,4751,0.051508,0.0695358,0
AK4771,AK,4771,0.062103,0.08383905,0
AK4777,AK,4777,0.068623,0.09264105,0
AK4825,AK,4825,0.017115,0.02310525,0
AK4828,AK,4828,0.036186,0.0488511,0
AK4829,AK,4829,0.022494,0.0303669,0
AK4902,AK,4902,0.051508,0.0695358,0
AK4923,AK,4923,0.022005,0.02970675,0
AK5020,AK,5020,0.072535,0.09792225,0
AK5022,AK,5022,0.154035,0.20794725,0
AK5037,AK,5037,0.259007,0.34965945,0
AK5040,AK,5040,0.167727,0.22643145,0
AK5057,AK,5057,0.126488,0.1707588,0
AK5059,AK,5059,0.367891,0.49665285,0
AK5069,AK,5069,0.31296,0.422496,0
AK5102,AK,5102,0.093888,0.1267488,0
AK5146,AK,5146,0.059169,0.07987815,0
AK5160,AK,5160,0.032926,0.0444501,0
AK5183,AK,5183,0.077588,0.1047438,0
AK5188,AK,5188,0.059658,0.0805383,0
AK5190,AK,5190,0.048737,0.06579495,0
AK5191,AK,5191,0.021353,0.02882655,0
AK5192,AK,5192,0.060473,0.08163855,0
AK5213,AK,5213,0.087531,0.11816685,0
AK5215,AK,5215,0.106765,0.14413275,0
AK5221,AK,5221,0.118501,0.15997635,0
AK5222,AK,5222,0.112633,0.15205455,0
AK5223,AK,5223,0.07498,0.101223,0
AK5348,AK,5348,0.085249,0.11508615,0
AK5402,AK,5402,0.098126,0.1324701,0
